#E_pot  E_kin  T  P
-4.064472e-05 8.336849e+02 3.342308e+02 9.229109e+02
-4.082671e-05 8.256242e+02 3.309992e+02 9.139875e+02
-4.061317e-05 7.822600e+02 3.136142e+02 8.659822e+02
-4.033129e-05 8.044382e+02 3.225056e+02 8.905340e+02
-4.028673e-05 7.854362e+02 3.148875e+02 8.694984e+02
-3.999884e-05 7.665177e+02 3.073030e+02 8.485551e+02
-3.930611e-05 7.474564e+02 2.996611e+02 8.274537e+02
-3.832125e-05 7.399954e+02 2.966699e+02 8.191941e+02
-3.724531e-05 7.122086e+02 2.855300e+02 7.884335e+02
-3.619787e-05 7.413827e+02 2.972261e+02 8.207299e+02
-3.536916e-05 7.423974e+02 2.976329e+02 8.218532e+02
-3.503786e-05 7.442106e+02 2.983599e+02 8.238605e+02
-3.480039e-05 7.714008e+02 3.092606e+02 8.539608e+02
-3.425811e-05 7.629334e+02 3.058660e+02 8.445871e+02
-3.335246e-05 7.537796e+02 3.021962e+02 8.344536e+02
-3.276523e-05 7.994674e+02 3.205127e+02 8.850312e+02
-3.310683e-05 7.448827e+02 2.986293e+02 8.246046e+02
-3.392878e-05 7.442026e+02 2.983567e+02 8.238517e+02
-3.515710e-05 7.499423e+02 3.006578e+02 8.302057e+02
-3.697018e-05 7.861293e+02 3.151654e+02 8.702656e+02
-3.926392e-05 8.044261e+02 3.225007e+02 8.905206e+02
-4.195116e-05 8.058388e+02 3.230671e+02 8.920845e+02
-4.510290e-05 7.657873e+02 3.070101e+02 8.477465e+02
-4.898049e-05 8.098024e+02 3.246561e+02 8.964723e+02
-5.322854e-05 7.734234e+02 3.100715e+02 8.561998e+02
-5.734928e-05 6.998432e+02 2.805726e+02 7.747446e+02
-6.194512e-05 7.271833e+02 2.915335e+02 8.050109e+02
-6.724955e-05 7.347117e+02 2.945517e+02 8.133450e+02
-7.265076e-05 7.478242e+02 2.998086e+02 8.278608e+02
-7.769820e-05 7.471863e+02 2.995528e+02 8.271547e+02
-8.202184e-05 7.568390e+02 3.034227e+02 8.378405e+02
-8.590723e-05 8.049392e+02 3.227064e+02 8.910887e+02
-8.698828e-05 8.082798e+02 3.240457e+02 8.947868e+02
-8.618594e-05 8.195426e+02 3.285611e+02 9.072550e+02
-8.652445e-05 8.577339e+02 3.438722e+02 9.495337e+02
-8.624407e-05 8.387717e+02 3.362702e+02 9.285421e+02
-8.452821e-05 8.720641e+02 3.496174e+02 9.653977e+02
-8.397354e-05 8.832192e+02 3.540895e+02 9.777467e+02
-8.416911e-05 8.441949e+02 3.384444e+02 9.345458e+02
-8.400700e-05 8.361773e+02 3.352301e+02 9.256701e+02
-8.232773e-05 8.314287e+02 3.333263e+02 9.204132e+02
-8.002720e-05 8.665022e+02 3.473875e+02 9.592405e+02
-7.937608e-05 8.487399e+02 3.402665e+02 9.395772e+02
-7.894896e-05 7.939538e+02 3.183023e+02 8.789275e+02
-7.724893e-05 8.047404e+02 3.226267e+02 8.908685e+02
-7.504829e-05 7.897256e+02 3.166072e+02 8.742468e+02
-7.381570e-05 8.087028e+02 3.242153e+02 8.952550e+02
-7.262377e-05 7.744847e+02 3.104970e+02 8.573748e+02
-7.053685e-05 8.059558e+02 3.231140e+02 8.922140e+02
-6.909935e-05 7.433887e+02 2.980304e+02 8.229506e+02
-6.953007e-05 7.330014e+02 2.938660e+02 8.114516e+02
-7.067306e-05 7.266424e+02 2.913166e+02 8.044120e+02
-7.096281e-05 7.244245e+02 2.904275e+02 8.019567e+02
-6.984470e-05 6.947891e+02 2.785464e+02 7.691496e+02
-6.748474e-05 6.979501e+02 2.798137e+02 7.726489e+02
-6.487828e-05 7.332515e+02 2.939663e+02 8.117285e+02
-6.287850e-05 7.317599e+02 2.933683e+02 8.100773e+02
-6.102420e-05 7.120920e+02 2.854833e+02 7.883044e+02
-5.966295e-05 7.410281e+02 2.970840e+02 8.203374e+02
-5.936037e-05 7.576440e+02 3.037454e+02 8.387317e+02
