#E_pot  E_kin  T  P
-8.677447e-04 1.433633e+03 5.747548e+02 1.587069e+03
-8.903923e-04 1.402153e+03 5.621341e+02 1.552220e+03
-8.855303e-04 1.480231e+03 5.934360e+02 1.638654e+03
-8.351938e-04 1.440187e+03 5.773824e+02 1.594325e+03
-7.744370e-04 1.397773e+03 5.603783e+02 1.547371e+03
-7.255241e-04 1.410456e+03 5.654627e+02 1.561411e+03
-6.954987e-04 1.403017e+03 5.624804e+02 1.553176e+03
-6.790754e-04 1.454902e+03 5.832818e+02 1.610615e+03
-6.307943e-04 1.454028e+03 5.829314e+02 1.609647e+03
-6.044172e-04 1.396142e+03 5.597243e+02 1.545566e+03
-6.191612e-04 1.466218e+03 5.878183e+02 1.623141e+03
-6.328316e-04 1.475153e+03 5.914005e+02 1.633033e+03
-6.522560e-04 1.550584e+03 6.216412e+02 1.716537e+03
-6.952000e-04 1.589559e+03 6.372666e+02 1.759683e+03
-7.068947e-04 1.566711e+03 6.281069e+02 1.734390e+03
-6.331329e-04 1.496806e+03 6.000813e+02 1.657003e+03
-5.317376e-04 1.551106e+03 6.218505e+02 1.717115e+03
-4.590985e-04 1.494445e+03 5.991347e+02 1.654389e+03
-3.989142e-04 1.605100e+03 6.434970e+02 1.776887e+03
-3.306469e-04 1.578244e+03 6.327303e+02 1.747157e+03
-2.603010e-04 1.502120e+03 6.022116e+02 1.662886e+03
-2.080495e-04 1.475372e+03 5.914881e+02 1.633275e+03
-1.787736e-04 1.429588e+03 5.731329e+02 1.582591e+03
-1.665630e-04 1.400926e+03 5.616423e+02 1.550862e+03
-1.628087e-04 1.389242e+03 5.569581e+02 1.537927e+03
-1.580245e-04 1.384696e+03 5.551355e+02 1.532894e+03
-1.588389e-04 1.349088e+03 5.408601e+02 1.493476e+03
-1.661474e-04 1.354417e+03 5.429965e+02 1.499375e+03
-1.741391e-04 1.361673e+03 5.459054e+02 1.507407e+03
-1.885593e-04 1.364948e+03 5.472184e+02 1.511033e+03
-2.086928e-04 1.361991e+03 5.460330e+02 1.507760e+03
-2.310380e-04 1.370832e+03 5.495773e+02 1.517547e+03
-2.644137e-04 1.398290e+03 5.605855e+02 1.547944e+03
-3.172831e-04 1.322992e+03 5.303979e+02 1.464587e+03
-3.804953e-04 1.343902e+03 5.387810e+02 1.487735e+03
-4.551510e-04 1.382520e+03 5.542630e+02 1.530485e+03
-5.717693e-04 1.421231e+03 5.697825e+02 1.573339e+03
-7.285120e-04 1.390150e+03 5.573220e+02 1.538932e+03
-9.069571e-04 1.393166e+03 5.585313e+02 1.542271e+03
-1.072072e-03 1.454497e+03 5.831192e+02 1.610166e+03
-1.179140e-03 1.437568e+03 5.763324e+02 1.591426e+03
-1.260423e-03 1.490597e+03 5.975919e+02 1.650129e+03
-1.353604e-03 1.492369e+03 5.983025e+02 1.652092e+03
-1.454151e-03 1.418349e+03 5.686271e+02 1.570149e+03
-1.594264e-03 1.489790e+03 5.972684e+02 1.649236e+03
-1.680493e-03 1.538380e+03 6.167487e+02 1.703027e+03
-1.548161e-03 1.610409e+03 6.456254e+02 1.782764e+03
-1.311565e-03 1.711250e+03 6.860536e+02 1.894398e+03
-1.105299e-03 1.702903e+03 6.827073e+02 1.885158e+03
-9.940468e-04 1.700886e+03 6.818986e+02 1.882925e+03
-9.063614e-04 1.655861e+03 6.638475e+02 1.833081e+03
-8.014792e-04 1.618344e+03 6.488068e+02 1.791549e+03
-6.962169e-04 1.500869e+03 6.017102e+02 1.661501e+03
-5.996869e-04 1.582245e+03 6.343344e+02 1.751586e+03
-5.671427e-04 1.611352e+03 6.460035e+02 1.783808e+03
-5.582469e-04 1.540943e+03 6.177760e+02 1.705864e+03
-5.148420e-04 1.540019e+03 6.174055e+02 1.704841e+03
-5.147950e-04 1.579246e+03 6.331322e+02 1.748267e+03
-5.753824e-04 1.530235e+03 6.134832e+02 1.694010e+03
-6.549565e-04 1.543629e+03 6.188529e+02 1.708837e+03
-7.348995e-04 1.649877e+03 6.614487e+02 1.826457e+03
-8.153899e-04 1.597370e+03 6.403982e+02 1.768330e+03
-9.147037e-04 1.669305e+03 6.692377e+02 1.847965e+03
-9.644343e-04 1.621210e+03 6.499559e+02 1.794722e+03
-9.223125e-04 1.566852e+03 6.281633e+02 1.734546e+03
-8.069630e-04 1.587636e+03 6.364956e+02 1.757554e+03
-7.235261e-04 1.623909e+03 6.510380e+02 1.797710e+03
-7.196388e-04 1.539470e+03 6.171856e+02 1.704233e+03
-7.381378e-04 1.604106e+03 6.430986e+02 1.775787e+03
-7.435575e-04 1.566986e+03 6.282169e+02 1.734694e+03
-7.713202e-04 1.611090e+03 6.458985e+02 1.783518e+03
-8.250230e-04 1.540464e+03 6.175843e+02 1.705334e+03
-8.584442e-04 1.562749e+03 6.265184e+02 1.730004e+03
-9.382230e-04 1.531456e+03 6.139729e+02 1.695362e+03
-1.137486e-03 1.531218e+03 6.138771e+02 1.695098e+03
-1.472285e-03 1.544624e+03 6.192519e+02 1.709939e+03
-1.990923e-03 1.556459e+03 6.239966e+02 1.723040e+03
-2.904313e-03 1.572686e+03 6.305022e+02 1.741004e+03
-4.207026e-03 1.603431e+03 6.428279e+02 1.775039e+03
-5.906558e-03 1.598897e+03 6.410104e+02 1.770021e+03
-8.905316e-03 1.524467e+03 6.111708e+02 1.687625e+03
-1.196074e-02 1.543172e+03 6.186696e+02 1.708331e+03
-1.312775e-02 1.600575e+03 6.416830e+02 1.771878e+03
-1.287015e-02 1.542829e+03 6.185323e+02 1.707952e+03
-1.156508e-02 1.511057e+03 6.057948e+02 1.672780e+03
-9.856506e-03 1.498071e+03 6.005886e+02 1.658404e+03
-7.706739e-03 1.441938e+03 5.780841e+02 1.596263e+03
-6.177529e-03 1.574458e+03 6.312128e+02 1.742967e+03
-4.925577e-03 1.561422e+03 6.259863e+02 1.728535e+03
-3.838882e-03 1.582894e+03 6.345945e+02 1.752304e+03
-3.031899e-03 1.537006e+03 6.161977e+02 1.701505e+03
-2.198872e-03 1.470812e+03 5.896602e+02 1.628227e+03
-1.521613e-03 1.514182e+03 6.070474e+02 1.676239e+03
-1.080185e-03 1.549003e+03 6.210074e+02 1.714786e+03
-7.902159e-04 1.575110e+03 6.314738e+02 1.743687e+03
-6.102258e-04 1.537246e+03 6.162939e+02 1.701771e+03
-4.976005e-04 1.581837e+03 6.341707e+02 1.751134e+03
-4.423878e-04 1.569188e+03 6.290999e+02 1.737132e+03
-4.070282e-04 1.477732e+03 5.924345e+02 1.635888e+03
-3.565593e-04 1.528450e+03 6.127678e+02 1.692035e+03
-2.948866e-04 1.497029e+03 6.001709e+02 1.657251e+03
