#E_pot  E_kin  T  P
-1.599230e-05 2.507844e+02 1.005414e+02 2.776249e+02
-1.640202e-05 2.445232e+02 9.803128e+01 2.706936e+02
-1.689995e-05 2.520429e+02 1.010460e+02 2.790180e+02
-1.740810e-05 2.387507e+02 9.571703e+01 2.643032e+02
-1.798566e-05 2.205864e+02 8.843481e+01 2.441949e+02
-1.845263e-05 2.161928e+02 8.667339e+01 2.393310e+02
-1.876803e-05 2.246583e+02 9.006726e+01 2.487025e+02
-1.916431e-05 2.256820e+02 9.047767e+01 2.498358e+02
-1.973060e-05 2.213937e+02 8.875847e+01 2.450886e+02
-2.040334e-05 2.186120e+02 8.764328e+01 2.420092e+02
-2.083184e-05 2.144614e+02 8.597926e+01 2.374144e+02
-2.096399e-05 2.071857e+02 8.306238e+01 2.293600e+02
-2.092014e-05 2.119068e+02 8.495511e+01 2.345864e+02
-2.060328e-05 2.218375e+02 8.893641e+01 2.455799e+02
-2.019670e-05 2.264539e+02 9.078714e+01 2.506903e+02
-1.968182e-05 2.320197e+02 9.301853e+01 2.568519e+02
-1.926389e-05 2.314648e+02 9.279605e+01 2.562376e+02
-1.910082e-05 2.317927e+02 9.292752e+01 2.566006e+02
-1.902079e-05 2.368461e+02 9.495346e+01 2.621948e+02
-1.899877e-05 2.484614e+02 9.961012e+01 2.750532e+02
-1.893186e-05 2.800290e+02 1.122658e+02 3.099994e+02
-1.900532e-05 2.552554e+02 1.023339e+02 2.825743e+02
-1.928253e-05 2.525947e+02 1.012672e+02 2.796289e+02
-1.959062e-05 2.518866e+02 1.009833e+02 2.788450e+02
-2.007808e-05 2.498919e+02 1.001836e+02 2.766368e+02
-2.079350e-05 2.437098e+02 9.770517e+01 2.697931e+02
-2.154696e-05 2.510328e+02 1.006410e+02 2.778998e+02
-2.217757e-05 2.531864e+02 1.015044e+02 2.802839e+02
-2.272428e-05 2.508807e+02 1.005800e+02 2.777315e+02
-2.337840e-05 2.578841e+02 1.033878e+02 2.854844e+02
-2.431240e-05 2.637899e+02 1.057555e+02 2.920223e+02
-2.536276e-05 2.525432e+02 1.012466e+02 2.795719e+02
-2.630965e-05 2.473202e+02 9.915260e+01 2.737899e+02
-2.733653e-05 2.532925e+02 1.015470e+02 2.804014e+02
-2.858192e-05 2.334255e+02 9.358213e+01 2.584082e+02
-2.983093e-05 2.383252e+02 9.554643e+01 2.638322e+02
-3.110829e-05 2.510438e+02 1.006454e+02 2.779120e+02
-3.221384e-05 2.431408e+02 9.747704e+01 2.691631e+02
-3.298144e-05 2.473403e+02 9.916066e+01 2.738121e+02
-3.362446e-05 2.517954e+02 1.009467e+02 2.787440e+02
-3.390594e-05 2.451977e+02 9.830167e+01 2.714402e+02
-3.364492e-05 2.374026e+02 9.517655e+01 2.628108e+02
-3.295170e-05 2.495362e+02 1.000410e+02 2.762430e+02
-3.225345e-05 2.568122e+02 1.029580e+02 2.842978e+02
-3.179520e-05 2.471098e+02 9.906827e+01 2.735570e+02
-3.176041e-05 2.340079e+02 9.381560e+01 2.590528e+02
-3.208104e-05 2.510787e+02 1.006594e+02 2.779506e+02
-3.262479e-05 2.426735e+02 9.728972e+01 2.686459e+02
-3.328933e-05 2.630837e+02 1.054723e+02 2.912405e+02
-3.392490e-05 2.601708e+02 1.043045e+02 2.880158e+02
-3.472467e-05 2.625360e+02 1.052527e+02 2.906342e+02
-3.533013e-05 2.709432e+02 1.086233e+02 2.999412e+02
-3.575254e-05 2.763565e+02 1.107935e+02 3.059338e+02
-3.646716e-05 2.647191e+02 1.061280e+02 2.930510e+02
-3.737437e-05 2.688905e+02 1.078003e+02 2.976688e+02
-3.846773e-05 2.491590e+02 9.988980e+01 2.758255e+02
-3.987559e-05 2.596319e+02 1.040885e+02 2.874193e+02
-4.152893e-05 2.520972e+02 1.010677e+02 2.790782e+02
-4.293967e-05 2.591047e+02 1.038771e+02 2.868357e+02
-4.379279e-05 2.545847e+02 1.020650e+02 2.818319e+02
-4.448539e-05 2.460319e+02 9.863613e+01 2.723638e+02
-4.537911e-05 2.473066e+02 9.914714e+01 2.737748e+02
-4.738619e-05 2.446259e+02 9.807244e+01 2.708072e+02
-4.984579e-05 2.336454e+02 9.367029e+01 2.586516e+02
-5.189104e-05 2.331373e+02 9.346656e+01 2.580890e+02
-5.399825e-05 2.258015e+02 9.052561e+01 2.499682e+02
-5.636821e-05 2.267182e+02 9.089311e+01 2.509830e+02
-5.962993e-05 2.267367e+02 9.090052e+01 2.510034e+02
-6.367879e-05 2.337580e+02 9.371543e+01 2.587762e+02
-6.811312e-05 2.340059e+02 9.381479e+01 2.590506e+02
-7.252089e-05 2.379431e+02 9.539327e+01 2.634092e+02
-7.668109e-05 2.490629e+02 9.985125e+01 2.757191e+02
-7.960518e-05 2.504871e+02 1.004223e+02 2.772958e+02
-8.210594e-05 2.523492e+02 1.011688e+02 2.793572e+02
-8.501022e-05 2.629769e+02 1.054295e+02 2.911223e+02
-8.843789e-05 2.649933e+02 1.062379e+02 2.933545e+02
-9.178745e-05 2.716352e+02 1.089007e+02 3.007072e+02
-9.367490e-05 2.713430e+02 1.087835e+02 3.003838e+02
-9.446672e-05 2.822625e+02 1.131613e+02 3.124720e+02
-9.347112e-05 2.571328e+02 1.030866e+02 2.846527e+02
-9.086613e-05 2.482915e+02 9.954202e+01 2.748652e+02
-8.756308e-05 2.418467e+02 9.695824e+01 2.677306e+02
-8.472693e-05 2.354348e+02 9.438766e+01 2.606325e+02
-8.247016e-05 2.298028e+02 9.212974e+01 2.543977e+02
-8.007488e-05 2.239382e+02 8.977858e+01 2.479054e+02
-7.644026e-05 2.331594e+02 9.347545e+01 2.581136e+02
-7.219973e-05 2.228500e+02 8.934231e+01 2.467007e+02
-6.964188e-05 2.404764e+02 9.640888e+01 2.662136e+02
-6.855619e-05 2.223904e+02 8.915808e+01 2.461920e+02
