#E_pot  E_kin  T  P
-1.690035e-03 1.849462e+03 2.965856e+02 2.047403e+03
-1.594955e-03 1.877113e+03 3.010198e+02 2.078013e+03
-1.496118e-03 1.801122e+03 2.888335e+02 1.993889e+03
-1.430859e-03 1.870489e+03 2.999575e+02 2.070680e+03
-1.360973e-03 1.864010e+03 2.989185e+02 2.063507e+03
-1.316970e-03 1.846358e+03 2.960878e+02 2.043966e+03
-1.315614e-03 1.865603e+03 2.991740e+02 2.065271e+03
-1.325560e-03 1.840351e+03 2.951245e+02 2.037316e+03
-1.316346e-03 1.867691e+03 2.995088e+02 2.067582e+03
-1.310062e-03 1.887825e+03 3.027376e+02 2.089872e+03
-1.317366e-03 1.876729e+03 3.009582e+02 2.077588e+03
-1.360462e-03 1.835605e+03 2.943634e+02 2.032062e+03
-1.443555e-03 1.844899e+03 2.958538e+02 2.042351e+03
-1.527215e-03 1.793084e+03 2.875446e+02 1.984991e+03
-1.577195e-03 1.846636e+03 2.961324e+02 2.044275e+03
-1.640592e-03 1.798000e+03 2.883329e+02 1.990432e+03
-1.779625e-03 1.793053e+03 2.875395e+02 1.984956e+03
-1.932458e-03 1.811233e+03 2.904551e+02 2.005083e+03
-2.042112e-03 1.809531e+03 2.901821e+02 2.003198e+03
-2.186220e-03 1.823211e+03 2.923758e+02 2.018342e+03
-2.380510e-03 1.787560e+03 2.866587e+02 1.978875e+03
-2.622818e-03 1.764487e+03 2.829587e+02 1.953333e+03
-3.034797e-03 1.762366e+03 2.826186e+02 1.950985e+03
-3.693795e-03 1.839557e+03 2.949971e+02 2.036438e+03
-4.451291e-03 1.848636e+03 2.964530e+02 2.046488e+03
-5.080832e-03 1.845624e+03 2.959700e+02 2.043154e+03
-5.588650e-03 1.862736e+03 2.987142e+02 2.062097e+03
-5.951200e-03 1.900478e+03 3.047667e+02 2.103879e+03
-6.045784e-03 1.962108e+03 3.146498e+02 2.172104e+03
-6.175810e-03 1.956900e+03 3.138147e+02 2.166340e+03
-6.725777e-03 1.987686e+03 3.187515e+02 2.200420e+03
-7.243112e-03 1.940441e+03 3.111752e+02 2.148119e+03
-7.132515e-03 1.922289e+03 3.082643e+02 2.128024e+03
-6.541159e-03 1.888909e+03 3.029113e+02 2.091071e+03
-6.019525e-03 1.880905e+03 3.016278e+02 2.082211e+03
-5.520690e-03 1.797492e+03 2.882514e+02 1.989870e+03
-5.273443e-03 1.769881e+03 2.838237e+02 1.959304e+03
-5.621036e-03 1.781298e+03 2.856546e+02 1.971944e+03
-6.600391e-03 1.790144e+03 2.870732e+02 1.981736e+03
-8.284357e-03 1.819602e+03 2.917970e+02 2.014346e+03
-1.117625e-02 1.839111e+03 2.949256e+02 2.035944e+03
-1.706906e-02 1.851199e+03 2.968641e+02 2.049325e+03
-2.942356e-02 1.861031e+03 2.984407e+02 2.060209e+03
-5.939293e-02 1.948057e+03 3.123965e+02 2.156550e+03
-1.395737e-01 1.908148e+03 3.059965e+02 2.112369e+03
-3.433065e-01 1.881159e+03 3.016686e+02 2.082492e+03
-7.617244e-01 1.915398e+03 3.071592e+02 2.120395e+03
-7.248892e-01 1.841485e+03 2.953062e+02 2.038571e+03
