#E_pot  E_kin  T  P
-5.979628e-04 7.047408e+02 2.825361e+02 7.801664e+02
-5.396696e-04 7.067959e+02 2.833600e+02 7.824414e+02
-4.266423e-04 6.752538e+02 2.707146e+02 7.475236e+02
-3.179124e-04 6.865449e+02 2.752412e+02 7.600231e+02
-2.377768e-04 7.133664e+02 2.859942e+02 7.897152e+02
-1.863022e-04 7.147360e+02 2.865433e+02 7.912314e+02
-1.503489e-04 7.238446e+02 2.901950e+02 8.013148e+02
-1.271017e-04 7.153897e+02 2.868053e+02 7.919550e+02
-1.122769e-04 7.376447e+02 2.957275e+02 8.165918e+02
-1.020411e-04 7.323044e+02 2.935866e+02 8.106801e+02
-9.574094e-05 7.346818e+02 2.945397e+02 8.133119e+02
-8.962526e-05 7.152757e+02 2.867596e+02 7.918288e+02
-8.313536e-05 7.287108e+02 2.921459e+02 8.067018e+02
-7.521180e-05 7.398713e+02 2.966202e+02 8.190568e+02
-6.723971e-05 7.648120e+02 3.066191e+02 8.466668e+02
-6.257814e-05 7.832275e+02 3.140021e+02 8.670533e+02
-5.848068e-05 7.774973e+02 3.117048e+02 8.607098e+02
-5.448019e-05 8.077159e+02 3.238196e+02 8.941625e+02
-5.247173e-05 8.062492e+02 3.232316e+02 8.925388e+02
-5.095650e-05 8.087567e+02 3.242369e+02 8.953148e+02
-4.914037e-05 7.977667e+02 3.198309e+02 8.831485e+02
-4.774902e-05 7.848424e+02 3.146495e+02 8.688410e+02
-4.739779e-05 7.646522e+02 3.065551e+02 8.464899e+02
-4.878350e-05 8.001721e+02 3.207953e+02 8.858114e+02
-5.105757e-05 7.889609e+02 3.163006e+02 8.734003e+02
-5.351035e-05 7.604326e+02 3.048634e+02 8.418187e+02
-5.694392e-05 7.277921e+02 2.917776e+02 8.056848e+02
-6.074566e-05 6.913242e+02 2.771573e+02 7.653139e+02
-6.371481e-05 7.600073e+02 3.046929e+02 8.413479e+02
-6.553778e-05 7.020581e+02 2.814606e+02 7.771967e+02
-6.545330e-05 6.745914e+02 2.704490e+02 7.467903e+02
-6.422129e-05 6.950821e+02 2.786639e+02 7.694740e+02
-6.349452e-05 7.416610e+02 2.973377e+02 8.210380e+02
-6.320230e-05 7.692985e+02 3.084178e+02 8.516335e+02
-6.233562e-05 7.996134e+02 3.205713e+02 8.851929e+02
-6.134155e-05 8.009691e+02 3.211148e+02 8.866937e+02
-6.160988e-05 7.944564e+02 3.185038e+02 8.794839e+02
-6.346214e-05 7.641103e+02 3.063378e+02 8.458900e+02
-6.469179e-05 7.174317e+02 2.876240e+02 7.942155e+02
-6.422000e-05 7.596171e+02 3.045365e+02 8.409160e+02
-6.375783e-05 7.656302e+02 3.069472e+02 8.475726e+02
-6.338480e-05 7.885740e+02 3.161455e+02 8.729719e+02
-6.399008e-05 7.855232e+02 3.149224e+02 8.695947e+02
-6.468198e-05 7.818598e+02 3.134537e+02 8.655392e+02
-6.441828e-05 7.879694e+02 3.159031e+02 8.723026e+02
-6.418339e-05 7.238264e+02 2.901877e+02 8.012946e+02
-6.378480e-05 7.500615e+02 3.007055e+02 8.303376e+02
-6.286893e-05 7.487918e+02 3.001965e+02 8.289320e+02
-6.181200e-05 7.347453e+02 2.945652e+02 8.133822e+02
-6.042510e-05 7.254471e+02 2.908375e+02 8.030889e+02
-5.827975e-05 7.398390e+02 2.966073e+02 8.190211e+02
-5.615573e-05 7.336888e+02 2.941416e+02 8.122126e+02
-5.456513e-05 7.341075e+02 2.943094e+02 8.126761e+02
-5.294491e-05 7.515859e+02 3.013167e+02 8.320252e+02
-5.132902e-05 7.140450e+02 2.862663e+02 7.904665e+02
-5.015423e-05 7.600272e+02 3.047009e+02 8.413699e+02
-4.955239e-05 7.976514e+02 3.197847e+02 8.830208e+02
-4.951897e-05 7.727418e+02 3.097983e+02 8.554453e+02
-5.008959e-05 7.764402e+02 3.112810e+02 8.595395e+02
-5.084815e-05 7.866652e+02 3.153803e+02 8.708589e+02
-5.201376e-05 7.764083e+02 3.112682e+02 8.595042e+02
-5.355334e-05 7.826084e+02 3.137538e+02 8.663679e+02
-5.476505e-05 7.896197e+02 3.165647e+02 8.741296e+02
-5.576157e-05 8.157204e+02 3.270287e+02 9.030238e+02
-5.658598e-05 8.585674e+02 3.442064e+02 9.504565e+02
-5.639985e-05 8.248659e+02 3.306952e+02 9.131480e+02
-5.531778e-05 8.085895e+02 3.241699e+02 8.951297e+02
-5.403606e-05 7.780529e+02 3.119275e+02 8.613248e+02
-5.295511e-05 7.330499e+02 2.938854e+02 8.115053e+02
-5.263469e-05 7.481635e+02 2.999446e+02 8.282365e+02
-5.296982e-05 7.164497e+02 2.872303e+02 7.931285e+02
-5.375323e-05 7.562719e+02 3.031954e+02 8.372127e+02
-5.478476e-05 7.846319e+02 3.145651e+02 8.686079e+02
-5.590956e-05 7.505217e+02 3.008901e+02 8.308471e+02
-5.720403e-05 7.043998e+02 2.823994e+02 7.797889e+02
-5.811060e-05 6.801376e+02 2.726725e+02 7.529300e+02
-5.880192e-05 7.187930e+02 2.881698e+02 7.957226e+02
-6.065566e-05 7.268549e+02 2.914018e+02 8.046473e+02
-6.303560e-05 7.288417e+02 2.921984e+02 8.068468e+02
-6.484143e-05 6.981623e+02 2.798988e+02 7.728839e+02
-6.635391e-05 7.108427e+02 2.849824e+02 7.869214e+02
-6.696388e-05 7.205576e+02 2.888772e+02 7.976760e+02
-6.670019e-05 7.343348e+02 2.944006e+02 8.129278e+02
-6.781124e-05 7.630490e+02 3.059123e+02 8.447151e+02
-7.109528e-05 8.150461e+02 3.267584e+02 9.022773e+02
-7.523218e-05 7.873011e+02 3.156352e+02 8.715628e+02
-8.034854e-05 7.825226e+02 3.137194e+02 8.662729e+02
-8.765514e-05 8.013829e+02 3.212807e+02 8.871517e+02
-9.516454e-05 8.397740e+02 3.366720e+02 9.296517e+02
-1.001266e-04 8.019485e+02 3.215074e+02 8.877778e+02
-1.046355e-04 7.728347e+02 3.098355e+02 8.555482e+02
-1.097081e-04 7.689395e+02 3.082739e+02 8.512360e+02
-1.137201e-04 7.743688e+02 3.104505e+02 8.572464e+02
-1.167405e-04 7.662779e+02 3.072068e+02 8.482896e+02
-1.201863e-04 7.485063e+02 3.000820e+02 8.286159e+02
-1.236709e-04 7.626889e+02 3.057680e+02 8.443165e+02
-1.260826e-04 7.883210e+02 3.160441e+02 8.726919e+02
-1.315688e-04 7.945908e+02 3.185577e+02 8.796327e+02
