#E_pot  E_kin  T  P
-1.486356e-02 7.245711e+02 2.904862e+02 8.021191e+02
-1.681231e-02 7.537104e+02 3.021684e+02 8.343771e+02
-1.975617e-02 7.256075e+02 2.909017e+02 8.032663e+02
-2.502728e-02 7.220588e+02 2.894790e+02 7.993379e+02
-3.121985e-02 6.844614e+02 2.744059e+02 7.577165e+02
-3.645882e-02 6.952311e+02 2.787236e+02 7.696389e+02
-4.113148e-02 7.269573e+02 2.914429e+02 8.047607e+02
-4.638221e-02 7.721534e+02 3.095624e+02 8.547940e+02
-6.028781e-02 7.348314e+02 2.945997e+02 8.134775e+02
-8.715799e-02 7.097837e+02 2.845579e+02 7.857490e+02
-1.215706e-01 6.620176e+02 2.654081e+02 7.328708e+02
-1.784076e-01 6.942497e+02 2.783301e+02 7.685525e+02
-2.817633e-01 6.815920e+02 2.732556e+02 7.545401e+02
-3.945388e-01 6.904085e+02 2.767902e+02 7.643001e+02
-4.864639e-01 6.699141e+02 2.685738e+02 7.416124e+02
-5.937449e-01 6.709870e+02 2.690040e+02 7.428001e+02
-7.533883e-01 6.875595e+02 2.756480e+02 7.611463e+02
-9.348390e-01 7.189263e+02 2.882232e+02 7.958702e+02
-9.946178e-01 7.482072e+02 2.999621e+02 8.282848e+02
-4.166777e-01 7.404327e+02 2.968453e+02 8.196783e+02
1.861764e+00 7.500190e+02 3.006885e+02 8.302905e+02
-9.770905e-01 7.199507e+02 2.886339e+02 7.970042e+02
-8.016225e-01 6.866103e+02 2.752675e+02 7.600955e+02
-4.534171e-01 6.571644e+02 2.634624e+02 7.274981e+02
-2.292013e-01 6.933634e+02 2.779748e+02 7.675714e+02
-1.312000e-01 6.942761e+02 2.783407e+02 7.685817e+02
-7.830354e-02 7.151431e+02 2.867065e+02 7.916820e+02
-4.869913e-02 6.978738e+02 2.797831e+02 7.725645e+02
-3.532818e-02 7.289761e+02 2.922522e+02 8.069955e+02
-3.278109e-02 7.342194e+02 2.943543e+02 8.128000e+02
-3.513657e-02 7.009049e+02 2.809983e+02 7.759200e+02
-3.169772e-02 7.006737e+02 2.809056e+02 7.756640e+02
-2.589497e-02 6.918312e+02 2.773606e+02 7.658751e+02
-2.437716e-02 6.829827e+02 2.738131e+02 7.560796e+02
-2.551671e-02 6.872409e+02 2.755203e+02 7.607935e+02
-2.704425e-02 7.149014e+02 2.866096e+02 7.914144e+02
-2.606373e-02 7.339278e+02 2.942374e+02 8.124772e+02
-2.254177e-02 7.517555e+02 3.013847e+02 8.322129e+02
-1.860834e-02 7.242243e+02 2.903472e+02 8.017352e+02
-1.432596e-02 7.475322e+02 2.996915e+02 8.275376e+02
-1.136189e-02 7.394076e+02 2.964343e+02 8.185434e+02
-1.015681e-02 7.591143e+02 3.043349e+02 8.403593e+02
